food_key,name,category,calories_kcal,protein_g,carbs_g,fat_g,sugar_g,fiber_g,sodium_mg
hummus,Hummus,legumes_beans,229.0,7.35,14.9,17.1,0.34,5.4,438.0
milk_2_percent,"Milk, 2% Reduced Fat",dairy_eggs,50.0,3.35,4.91,1.9,4.89,,39.0
tomatoes_grape,"Tomatoes, Grape",vegetables,27.0,0.83,5.51,0.63,,2.1,6.0
green_beans_canned,"Green Beans, Canned",vegetables,21.0,1.04,4.11,0.39,1.29,,282.0
broccoli_raw,"Broccoli, Raw",vegetables,32.0,2.57,6.29,0.34,1.4,2.4,36.0
milk_1_percent,"Milk, 1% Lowfat",dairy_eggs,43.0,3.38,5.19,0.95,4.96,,39.0
milk_skim,"Milk, Skim (Nonfat)",dairy_eggs,34.0,3.43,4.89,0.08,5.05,,41.0
milk_whole,"Milk, Whole",dairy_eggs,60.0,3.28,4.67,3.2,4.81,,38.0
beef_hot_dog,Beef Hot Dog,sausages_meats,314.0,11.7,2.89,28.0,1.26,,872.0
almonds_dry_roasted,"Almonds, Dry Roasted",nuts_seeds,620.0,20.4,16.2,57.8,4.17,11.0,256.0
ricotta_cheese,"Ricotta Cheese, Whole Milk",dairy_eggs,157.0,7.81,6.86,11.0,,,105.0
kale_raw,"Kale, Raw",vegetables,35.0,2.92,4.42,1.49,0.8,4.1,53.0
egg_whole_raw,"Egg, Whole, Raw",dairy_eggs,150.0,12.3,0.91,10.3,,,121.0
egg_white_raw,"Egg White, Raw",dairy_eggs,48.0,10.1,0.74,0.16,,,144.0
egg_white_dried,"Egg White, Dried",dairy_eggs,376.0,79.9,6.02,0.65,,,1250.0
salsa,Salsa Sauce,soups_sauces,29.0,1.44,6.74,0.19,3.81,1.8,656.0
beef_breakfast_sausage,Beef Breakfast Sausage,sausages_meats,328.0,13.3,3.37,28.7,1.0,,866.0
onion_rings_baked,"Onion Rings, Frozen Baked",vegetables,288.0,4.52,36.3,14.4,4.5,2.4,374.0
dill_pickles,Dill Pickles,vegetables,12.0,0.48,1.99,0.43,1.28,1.0,808.0
peanut_butter,"Peanut Butter, Smooth",legumes_beans,597.0,22.5,22.3,51.1,10.5,4.8,429.0
parmesan_cheese,"Parmesan Cheese, Grated",dairy_eggs,421.0,29.6,12.4,28.0,0.07,,1750.0
american_cheese,"American Cheese, Processed",dairy_eggs,366.0,18.0,5.27,30.6,2.63,,1660.0
grapefruit_juice,Grapefruit Juice,fruits,37.0,0.55,7.59,0.7,7.72,0.2,1.0
peaches_raw,"Peaches, Raw",fruits,42.0,0.91,10.1,0.27,8.39,1.5,13.0
sunflower_seeds,"Sunflower Seeds, Dry Roasted",nuts_seeds,612.0,21.0,17.1,56.1,3.14,10.3,532.0
